ID#;dialog
700279;Shaftesbury Avenue.  I used to come here to the theater with my mum and dad.  Just popped into my head.  I don't know why...
700280;This way!
700281;We need to change.
700282;How the ruddy --
700283;Undetectable Extension Charm.
700284;You're amazing, you are.
700285;Always the tone of surprise.
700286;That'll be the books.
700287;Do you reckon everyone's alright at the wedding?  Maybe we should --
700288;They were after you, mate.  We'd just put everyone in danger going back.
700289;Ron's right.  Cappuccino, please.
700290;What she said.
700291;Same.
700292;Wicked scar.
700293;So where do we go from here?  The Leaky Cauldron?
700294;Too dangerous.  If Voldemort's taken over the Ministry, none of the old places are safe.
700295;My rucksack.  With all my things. I left it back at the Burrow --
700296;You're joking.
700297;I've had the essentials packed for days.  Just in case.
700298;By the way -- these jeans?  Not my favorite.  Bit tight.
700299;Down!
700300;Stupefy!
700301;Petrificus Totalus! Go.
700302;She doesn't argue.
700303;Lock the door, get the lights.
700304;This one's name is Rowle.  He was on the Astronomy Tower the night Snape killed Dumbledore.
700305;This is Dolohov.  I recognize him from the wanted posters.
700306;So what do we do with you, huh? Kill us if it was turned round, wouldn't you?
700307;Suppose it's him that did Mad-Eye. How would you feel then?
700308;It's better we wipe their memories.  We kill them, they'll know we were here.
700309;You're the boss. Hermione?
700310;You're the best with spells.
700311;Obliviate.
700312;How is it they knew we were there?
700313;Maybe you still have the Trace on you.
700314;Can't be. The Trace breaks at seventeen. It's Wizarding law.
700315;What?
700316;We didn't celebrate your birthday, Harry.  Ginny and I -- we'd prepared a cake.  We were going to bring it out at the end of the wedding...
700317;Hermione.  I appreciate the thought -- honestly.  But given that we were almost killed by a couple of Death Eaters a few minutes ago...
700318;Right.  Perspective.
700319;We've got to get off the streets, get somewhere safe.
700320;I have an idea.
700321;Severus Snape?
700322;Mad-Eye...?
700323;What was that about?
700324;Mad-eye's doing, I'd guess.  In case Snape decided to come snooping.
700325;Homenum revelio.
700326;It's a spell to reveal human presence.
700327;We're alone.
700328;Lumos.
700329;Dear Sirius.  Thank you for Harry's birthday present.  You'd think he'd been born on a broom.
700330;James says he's got the look of a Seeker, but then James would.  We had a very quiet birthday tea, just us and old Bathilda, who dotes on Harry.  Wormy dropped by late in the day, but seemed down and didn't stay long.  James is frustrated being shut up here, but Dumbledore's still got his Invisibility Cloak, so he doesn't have much choice.  By the way, Bathilda tells the most amazing stories about our old Headmaster. I don't know how much to believe. Can it really be true that Dumbledore --
700331;Harry!  Harry!
700332;Ron!  I've found him!
700333;Good!  Tell him from me he's a git!
700334;Harry, you can't just disappear. We thought --
700335;It's from your Mum.  To Sirius. Bathilda Bagshot...?
700336;Yeah.  They knew her.  She wrote A History of Magic, you know.
700337;Did she now?
700338;I'm thinking maybe we should go talk to her.  She still lives in Godric's Hollow.  I'm thinking maybe she could help us.
700339;Harry.  I can imagine why you'd want to go there, but... I don't think Bathilda Bagshot is going to know where Voldemort hid his Horcruxes.
700340;Hey!  I think you two better come down here.
700341;The two clinging to the tree are Death Eaters for sure.  Dunno 'bout the bloke on the bench. Can't see us, of course.  But we'll have to be careful coming and going.  C'mon.  There's something else you need to see.
700342;Lovely.
700343;To the Dark Lord.  I know I will be dead long before you read this... I have stolen the real Horcrux and intend to destroy it...
700344;R.A.B. was Sirius' brother?
700345;Yes.  Question is, did he actually destroy the real Horcrux?
700346;Stop!  I order you!
700347;Kreacher...
700348;Been spying on us, have you?
700349;Kreacher has been... watching. Kreacher always watches.
700350;Maybe he knows.
700351;Ever seen this before?
700352;Kreacher, I own this place. Sirius left it to me.  Which means I own you too.
700353;That was Master Regulus' locket.
700354;That's right.  But there were two, weren't there?
700355;Where's the other one?
700356;Kreacher doesn't know where the other locket is.
700357;But was it here?  Did you ever see it?
700358;Filthy Mudblood -- The Death Eaters will soon be coming for you!
700359;Blood-traitor Weasley --
700360;Ron!  RON!
700361;Answer her.
700362;Yes.  It was here, in this house. A most evil object...
700363;How do you mean?
700364;Before he died, Master Regulus ordered Kreacher to destroy it. It was the last thing he asked of Kreacher.  But no matter how Kreacher tried, he could not..
700365;Where is it now?  Did someone take it, Kreacher?
700366;He came in the night.  He took many things, including the locket.
700367;Who, Kreacher?  Who was it?
700368;Mundungus.  Mundungus Fletcher.
700369;Find him.
700370;As your new Minister for Magic, I promise to restore this temple of tolerance to its former glory. Therefore, beginning today, each employee will be required to submit themselves for evaluation. But know this:  You have nothing to fear... as long as you have nothing to hide...
700371;My father will hear about this.
700372;He's not here, you fools.
700373;They have flesh memories.
700374;Snitches.  They're never touched by bare skin until the Seeker captures it.  Even the wizard who fabricates it wears gloves.  That way, if there's a dispute, the Snitch can identify who first touched it.
700375;You mean... it remembers me?
700376;When Scrimgeour first gave it to you, I thought it might open at your touch -- that Dumbledore had hidden something in it.
700377;Harry Potter!  So long it's been --
700378;Expelliarmus!
700379;As requested, Kreacher has returned with the thief Mundungus Fletcher!
700380;Dobby has also returned with the thief Mundungus Fletcher!
700381;What are you playing at -- setting a pair of bleedin' 'ouse-elves on me!
700382;Dobby was only trying to help! Dobby saw Kreacher in Diagon Alley, which Dobby thought was curious.  And then Dobby heard Kreacher mention Harry Potter's name, which Dobby thought was very curious.  And then Dobby saw that Kreacher was talking to the thief Mundungus Fletcher, which Dobby thought was very, very --
700383;I'm no thief, you foul little git. I'm a purveyer of rare and wondrous objects --
700384;You're a thief, Dung.  Everyone knows it.
700385;Master Weasley!  So good to see you again!
700386;Wicked trainers.
700387;Listen, I panicked that night, all right?  I never volunteered to die for you, mate.  Can I help it if Mad-Eye fell off his broom --
700388;Stop lying!
700389;Piece of advice.  Let's not rehash old times.  Got it... mate?
700390;When you turned this place over -- don't deny it! -- you found a locket, am I right?
700391;Why?  Was it valuable?
700392;You've still got it.
700393;No.  He's worried he should have got more money for it.
700394;Wouldn't be difficult, would it? Bleedin' gave it away, din' I? There I was, pitching me wares in Diagon Alley when some ministry hag comes up and asks to see my license.  Says she's of a mind to lock me up and would've, too, she hadn' taken a fancy to that locket.
700395;Who was she?  This witch?
700396;Well, she's right there, in't she? Bleedin' bow an' all.
700397;Right. So let's do it.  Who gets who?
700398;Well, unless one of you fancies wearing a skirt...
700399;Remember what we said.  Keep your eyes down.  Don't speak to anyone unless absolutely necessary.  Act as normal as possible.  Just do what you see everyone else doing. We do that -- and with a bit of luck -- we get ourselves inside. And then...
